LocalidadOrigen,LocalidadDestino,distancia,tiempo
1,2,33061.2,2498.2
1,3,10160.7,1053.6
1,4,6452.9,692.7
1,5,21415.6,1737.0
1,6,16924.1,1345.9
1,7,20126.9,1440.3
1,8,11361.2,877.0
1,9,4329.9,381.9
1,10,31289.5,2332.4
1,11,13659.0,1139.1
1,12,26223.2,1998.7
1,13,22414.9,1697.9
1,14,25897.0,1914.1
1,15,4225.5,353.2
1,16,22338.8,1724.3
1,17,12064.8,855.1
1,18,18088.6,1309.2
1,19,19570.0,1548.7
1,20,10485.2,728.5
1,21,18553.2,1356.9
2,1,32946.7,2475.3
2,3,34180.2,2536.7
2,4,29493.6,2108.5
2,5,13916.9,1306.3
2,6,18526.9,1478.0
2,7,14575.1,1256.1
2,8,23069.6,1831.7
2,9,31601.6,2240.8
2,10,2571.4,270.3
2,11,19234.4,1648.7
2,12,7378.4,853.0
2,13,20179.2,1373.2
2,14,15095.2,1082.4
2,15,32532.2,2321.0
2,16,21842.3,1566.6
2,17,30803.4,2214.2
2,18,23599.4,1939.9
2,19,25095.8,2279.0
2,20,29219.4,2078.5
2,21,16821.9,1449.2
3,1,14330.3,1189.3
3,2,38912.1,3170.5
3,4,15346.8,1330.9
3,5,32569.6,2608.4
3,6,28926.9,2189.2
3,7,26663.9,2206.7
3,8,23532.5,1766.5
3,9,18517.0,1496.9
3,10,37140.4,3004.7
3,11,24943.3,1916.4
3,12,32074.1,2671.0
3,13,35803.1,2682.4
3,14,34588.3,2702.3
3,15,18412.6,1468.2
3,16,35727.1,2708.8
3,17,25617.5,1807.2
3,18,31476.9,2293.7
3,19,23401.5,2192.6
3,20,16136.7,1361.9
3,21,28955.0,2163.4
4,1,5155.7,564.1
4,2,26857.9,2131.7
4,3,10569.1,794.2
4,5,17207.0,1513.2
4,6,13564.3,1094.0
4,7,14609.7,1167.9
4,8,8919.5,746.1
4,9,5377.5,504.2
4,10,25086.2,1965.9
4,11,10330.3,896.0
4,12,20019.9,1632.2
4,13,21400.9,1643.2
4,14,20354.8,1611.8
4,15,6308.0,584.4
4,16,21324.8,1669.6
4,17,11004.6,786.8
4,18,17074.6,1254.5
4,19,13445.7,1270.2
4,20,3087.2,259.3
4,21,13592.3,1068.2
5,1,22630.0,1563.7
5,2,11824.3,1294.4
5,3,27773.4,1786.9
5,4,19176.9,1196.9
5,6,5999.7,444.7
5,7,7691.1,546.3
5,8,12753.0,920.1
5,9,21285.0,1329.2
5,10,10374.9,1118.1
5,11,10478.6,787.9
5,12,5404.1,596.7
5,13,10358.7,765.2
5,14,2717.6,375.9
5,15,22215.5,1409.4
5,16,11360.4,837.5
5,17,20486.7,1302.6
5,18,11389.2,935.8
5,19,20740.7,1637.3
5,20,18902.8,1166.9
5,21,8650.5,660.6
6,1,14573.6,1216.8
6,2,18889.0,1468.1
6,3,21644.8,1487.4
6,4,11120.5,850.0
6,5,6769.1,654.8
6,7,5534.1,431.0
6,8,5776.1,607.8
6,9,13228.6,982.3
6,10,17117.3,1302.3
6,11,4480.0,425.9
6,12,12058.8,978.9
6,13,10765.6,876.9
6,14,9983.8,807.6
6,15,14159.1,1062.5
6,16,10689.6,903.3
6,17,12566.0,979.0
6,18,6463.7,620.0
6,19,15520.8,1420.1
6,20,10846.4,820.0
6,21,4774.3,446.6
7,1,20288.8,1461.2
7,2,13956.6,1195.1
7,3,22538.8,1588.3
7,4,16835.7,1094.4
7,5,9361.0,713.1
7,6,5869.0,463.9
7,8,10411.7,817.6
7,9,18943.7,1226.7
7,10,12184.9,1029.3
7,11,8526.2,682.4
7,12,7118.6,695.6
7,13,14218.6,1034.4
7,14,9632.8,726.9
7,15,19874.3,1306.9
7,16,14142.6,1060.8
7,17,18145.5,1200.1
7,18,10941.5,925.8
7,19,13454.4,1330.6
7,20,16561.5,1064.4
7,21,4164.0,435.1
8,1,12923.8,987.7
8,2,22416.1,1803.8
8,3,19995.0,1258.3
8,4,9470.7,620.9
8,5,12829.8,1100.5
8,6,5810.6,645.9
8,7,8899.5,741.4
8,9,11578.7,753.2
8,10,20644.4,1638.0
8,11,2454.5,302.9
8,12,15607.5,1304.6
8,13,13040.5,1168.6
8,14,13818.5,1217.7
8,15,12509.2,833.4
8,16,12964.4,1195.0
8,17,10916.2,749.9
8,18,8714.2,779.9
8,19,14452.4,1279.9
8,20,9196.5,590.9
8,21,6397.8,637.8
9,1,3972.4,337.6
9,2,30019.7,2290.8
9,3,17694.2,1145.4
9,4,7344.6,533.1
9,5,18374.1,1529.6
9,6,13882.5,1138.5
9,7,17085.3,1232.9
9,8,8319.6,669.6
9,10,28248.0,2125.0
9,11,10617.5,931.7
9,12,23181.7,1791.3
9,13,19373.3,1490.5
9,14,22855.5,1706.7
9,15,1184.0,145.8
9,16,19297.2,1516.9
9,17,9023.3,647.7
9,18,15047.1,1101.8
9,19,16528.5,1341.3
9,20,6895.7,478.0
9,21,15511.7,1149.5
10,1,30512.6,2296.7
10,2,2477.8,261.8
10,3,31746.1,2358.1
10,4,27059.5,1929.9
10,5,11232.6,1179.1
10,6,16092.8,1299.4
10,7,12141.0,1077.5
10,8,20635.5,1653.1
10,9,29167.5,2062.2
10,11,16800.3,1470.1
10,12,5086.2,640.5
10,13,16405.4,1298.8
10,14,11321.4,1008.0
10,15,30098.0,2142.4
10,16,18068.6,1492.2
10,17,28369.3,2035.6
10,18,21165.3,1761.3
10,19,22661.7,2100.4
10,20,26785.3,1899.9
10,21,14387.8,1270.6
11,1,12442.4,937.5
11,2,22048.5,1820.6
11,3,19513.6,1208.1
11,4,8989.3,570.7
11,5,12154.5,1042.9
11,6,5135.4,588.3
11,7,8712.7,763.1
11,8,2469.8,344.5
11,9,11097.4,703.0
11,10,20276.8,1654.8
11,12,15420.8,1326.3
11,13,15742.0,1318.2
11,14,13143.3,1160.1
11,15,12027.9,783.2
11,16,15665.9,1344.6
11,17,10434.8,699.7
11,18,10870.3,991.0
11,19,13971.0,1229.7
11,20,8715.2,540.7
11,21,5722.6,580.2
12,1,25165.2,1842.0
12,2,7162.9,879.3
12,3,27553.6,2045.3
12,4,21712.0,1475.2
12,5,5691.6,604.4
12,6,10886.7,917.0
12,7,7959.3,776.1
12,8,15288.1,1198.4
12,9,23820.1,1607.5
12,10,5713.4,703.0
12,11,13013.7,1066.2
12,13,12419.2,843.6
12,14,5826.0,480.5
12,15,24750.6,1687.7
12,16,14082.3,1037.0
12,17,23021.9,1580.9
12,18,16276.2,1408.1
12,19,18469.2,1787.6
12,20,21437.9,1445.2
12,21,12301.3,951.6
13,1,28748.9,2003.8
13,2,20131.5,1373.6
13,3,33892.2,2227.0
13,4,25295.8,1637.0
13,5,8477.0,785.9
13,6,10656.5,915.8
13,7,13810.0,986.4
13,8,13271.6,1175.4
13,9,19725.7,1731.5
13,10,16526.3,1236.9
13,11,16597.4,1228.0
13,12,12235.7,917.0
13,14,8088.9,553.0
13,15,20656.2,1811.7
13,16,3040.5,284.5
13,17,26605.6,1742.7
13,18,13207.8,1167.1
13,19,26859.5,2077.4
13,20,25021.6,1607.0
13,21,14769.4,1100.7
14,1,24552.0,1757.1
14,2,15178.2,1094.5
14,3,29695.4,1980.3
14,4,21098.9,1390.3
14,5,2970.1,361.0
14,6,8165.2,673.6
14,7,9856.6,775.2
14,8,14675.0,1113.5
14,9,23207.0,1522.6
14,10,11573.0,957.8
14,11,12400.5,981.3
14,12,5588.1,565.3
14,13,7954.2,531.6
14,15,24137.5,1602.8
14,16,9617.3,725.0
14,17,22408.7,1496.0
14,18,13554.7,1164.7
14,19,22662.7,1830.7
14,20,20824.8,1360.3
14,21,11688.2,866.7
15,1,4229.6,379.2
15,2,29138.2,2239.4
15,3,17249.2,1143.3
15,4,6899.6,531.0
15,5,17492.6,1478.2
15,6,13001.0,1087.1
15,7,16203.8,1181.5
15,8,7438.1,618.2
15,9,1231.9,181.3
15,10,27366.4,2073.6
15,11,9735.9,880.3
15,12,22300.1,1739.9
15,13,18491.8,1439.1
15,14,21973.9,1655.3
15,16,18415.7,1465.5
15,17,8141.7,596.3
15,18,14165.5,1050.4
15,19,15646.9,1289.9
15,20,6450.7,475.9
15,21,14630.1,1098.1
16,1,22889.2,2046.8
16,2,21472.9,1534.5
16,3,33368.3,2294.8
16,4,24771.8,1704.8
16,5,9184.9,876.4
16,6,10566.9,952.9
16,7,13286.0,1054.2
16,8,13182.1,1212.5
16,9,19636.1,1768.6
16,10,17867.7,1397.8
16,11,16073.4,1295.8
16,12,13577.1,1077.9
16,13,2467.1,240.7
16,14,8408.4,713.3
16,15,20566.6,1848.8
16,17,19100.7,1792.9
16,18,13118.2,1204.2
16,19,26335.6,2145.2
16,20,24497.7,1674.8
16,21,14245.4,1168.5
17,1,10559.6,817.2
17,2,29780.4,2293.0
17,3,22457.7,1413.3
17,4,11933.4,775.9
17,5,18093.8,1573.8
17,6,13602.3,1182.7
17,7,16805.1,1277.1
17,8,8128.5,700.9
17,9,8609.9,685.1
17,10,28008.7,2127.2
17,11,10425.9,939.7
17,12,22942.4,1793.5
17,13,19093.0,1534.7
17,14,22616.2,1708.9
17,15,8349.2,651.4
17,16,19017.0,1561.1
17,18,14766.8,1146.0
17,19,16289.2,1343.5
17,20,11659.2,745.9
17,21,15853.7,1165.3
18,1,18390.8,1601.6
18,2,22603.3,1806.4
18,3,28189.3,1935.6
18,4,17664.9,1298.2
18,5,9822.8,953.9
18,6,5331.2,562.8
18,7,9248.4,769.3
18,8,8683.6,767.3
18,9,15137.7,1323.4
18,10,20831.5,1640.6
18,11,9644.5,960.2
18,12,15773.1,1317.2
18,13,11021.6,925.0
18,14,13701.8,1145.7
18,15,16068.2,1403.6
18,16,10945.6,951.4
18,17,14602.3,1347.7
18,19,21785.0,1870.2
18,20,17390.8,1268.2
18,21,10207.8,883.6
19,1,15478.9,1557.7
19,2,21090.6,2224.3
19,3,18551.2,1471.7
19,4,11648.9,1135.5
19,5,20015.0,1862.5
19,6,17056.4,1561.6
19,7,12119.2,1388.4
19,8,14282.2,1404.4
19,9,16115.2,1429.3
19,10,19318.9,2058.5
19,11,14897.7,1394.7
19,12,17529.5,1852.7
19,13,24872.6,2183.8
19,14,20043.7,1884.0
19,15,17045.7,1509.5
19,16,24796.5,2210.2
19,17,16742.1,1416.1
19,18,22451.0,1977.6
19,20,10516.5,1034.4
19,21,12902.8,1442.0
20,1,12044.0,830.6
20,2,25432.3,2092.7
20,3,11196.6,738.8
20,4,4883.1,436.7
20,5,16519.4,1495.4
20,6,12876.7,1076.2
20,7,13184.1,1128.9
20,8,8959.7,887.5
20,9,9069.0,716.9
20,10,23660.6,1926.9
20,11,10717.9,909.3
20,12,18594.3,1593.2
20,13,23483.2,1806.1
20,14,19667.2,1594.0
20,15,9999.5,797.1
20,16,23407.2,1832.5
20,17,11044.8,928.2
20,18,18860.2,1430.3
20,19,10101.9,1146.1
20,21,12904.7,1050.4
21,1,17345.1,1337.3
21,2,15884.0,1352.8
21,3,20713.8,1454.2
21,4,13891.9,970.5
21,5,8808.2,689.0
21,6,5316.2,439.8
21,7,2367.3,290.4
21,8,7061.4,628.5
21,9,16000.0,1102.8
21,10,14112.2,1187.0
21,11,4531.4,412.9
21,12,9084.7,858.9
21,13,13665.9,1010.3
21,14,11414.9,864.2
21,15,16930.5,1183.0
21,16,13589.8,1036.7
21,17,15201.7,1076.2
21,18,10388.7,901.7
21,19,12054.9,1298.1
21,20,13617.8,940.5
