VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CD1,12.0,CD1-CD9-CD3-CD1-CD10-CD5-CD1-CD11-CD7-CD2-CD1-CD12-CD5-CD2-CD8-CD3-CD2-CD9-CD4-CD1-C27-CD9-CD5-CD3-CD10-CD6-CD1,1,12.0,1113.1,87583.2,16695896
VEH002,CD1,12.0,CD1-CD7-CD2-CD1-CD10-CD2-CD8-CD3-CD1-CD11-CD6-CD1-CD12-CD6-CD2-CD9-CD4-CD1-C91-CD10-CD5-CD1,1,12.0,1016.9,80638.6,15253038
VEH003,CD1,12.0,CD1-CD8-CD3-CD1-CD9-CD4-CD1-CD10-CD4-CD2-CD1-CD11-CD2-CD9-CD5-CD1-CD12-CD6-CD1-C39-CD11-CD7-CD1,1,12.0,1093.1,85643.9,16395819
VEH004,CD1,12.0,CD1-CD8-CD2-CD1-CD9-CD3-CD1-CD11-CD5-CD1-CD12-CD7-CD2-CD9-CD4-CD1-C59-CD12-CD8-CD4-CD2-CD10-CD6-CD1,1,12.0,932.1,73525.3,13981446
VEH005,CD1,12.0,CD1-CD7-CD2-CD1-CD9-CD3-CD1-CD10-CD5-CD1-CD11-CD3-CD2-CD9-CD4-CD1-CD12-CD8-CD1-C58-CD11-CD6-CD1,1,12.0,1109.9,87176.3,16648502
VEH006,CD1,12.0,CD1-CD8-CD2-CD1-CD9-CD4-CD1-CD10-CD5-CD1-CD11-CD4-CD2-CD9-CD5-CD2-CD10-CD6-CD1-CD12-CD6-CD2-CD11-CD7-CD1-C72-CD11-CD8-CD3-CD1,1,12.0,1054.6,83381.1,15818658
VEH007,CD1,12.0,CD1-CD7-CD2-CD1-CD8-CD3-CD1-CD10-CD4-CD1-CD11-CD3-CD2-CD9-CD1-CD12-CD6-CD1-C26-CD11-CD5-CD1,1,12.0,1128.9,87876.6,16933468
VEH008,CD1,12.0,CD1-CD8-CD2-CD1-CD9-CD3-CD1-CD11-CD6-CD1-CD12-CD6-CD2-CD9-CD4-CD1-C83-CD12-CD7-CD2-CD10-CD5-CD1,1,12.0,1002.9,79637.9,15043720
VEH009,CD1,12.0,CD1-CD9-CD4-CD1-CD10-CD5-CD1-CD11-CD4-CD2-CD1-CD12-CD6-CD1-C75-CD12-CD7-CD2-CD9-CD5-CD2-CD10-CD6-CD2-CD11-CD7-CD3-CD1,1,12.0,1025.3,80984.8,15378994
VEH010,CD1,12.0,CD1-CD7-CD2-CD1-CD8-CD3-CD1-CD10-CD5-CD1-CD11-CD5-CD2-CD9-CD1-CD12-CD5-CD3-CD2-CD10-CD6-CD1-C35-CD11-CD6-CD2-CD11-CD7-CD3-CD11-CD8-CD4-CD1,1,12.0,1062.5,83113.7,15938091
